id,noun,article,plural,translation,niveau,level,createdAt,updatedAt,deletedAt
41,Tochter,Die,Töchter,Hija,A1.1,beginner,12/06/20,,
42,Großvater,Der,Großväter,Abuelo,A1.1,beginner,12/06/20,,
43,Opa,Der,Opas,Abuelo,A1.1,beginner,12/06/20,,
44,Großmutter,Die,Großmütter,Abuela,A1.1,beginner,12/06/20,,
45,Oma,Die,Omas,Abuela,A1.1,beginner,12/06/20,,
46,Enkelin,Die,Enkelinnen,Nieta,A1.1,beginner,12/06/20,,
47,Enkel,Der,Enkel,Nieto,A1.1,beginner,12/06/20,,
48,Bruder,Der,Brüder,Hermano,A1.1,beginner,12/06/20,,
49,Schwester,Die,Schwestern,Hermana,A1.1,beginner,12/06/20,,
50,Geschwister,Die,Geschwister,Hermanos/as (pl),A1.1,beginner,12/06/20,,
51,Eltern,Die,Eltern,Padres,A1.1,beginner,12/06/20,,
52,Großeltern,Die,Großeltern,Abuelos,A1.1,beginner,12/06/20,,
53,(Ehe)Mann,Der,(Ehe)Männer,Marido,A1.1,beginner,12/06/20,,
54,(Ehe)Frau,Die,(Ehe)Frauen,Esposa,A1.1,beginner,12/06/20,,
55,Sprache,Die,Sprachen,Idioma,A1.1,beginner,12/06/20,,
56,Bild,Das,Bilder,Imagen / Retrato / Foto,A1.1,beginner,12/06/20,,
57,Freund,Der,Freunde,Amigo,A1.1,beginner,12/06/20,,
58,Kollege,Der,Kollegen,Colega,A1.1,beginner,12/06/20,,
59,Partner,Der,Partner,Compañero / Socio / Cónyuge,A1.1,beginner,12/06/20,,
60,Bett,Das,Betten,Cama,A1.1,beginner,12/06/20,,
61,Bild,Das,Bilder,Imagen / Retrato / Foto,A1.1,beginner,12/06/20,,
62,Lampe,Die,Lampen,Lámpara,A1.1,beginner,12/06/20,,
63,Schrank,Der,Schränke,Armario,A1.1,beginner,12/06/20,,
64,Sessel,Der,Sessel,Sillón,A1.1,beginner,12/06/20,,
65,Fauteuil,Der,Fauteuils,Sillón,A1.1,beginner,12/06/20,,
66,Sofa,Das,Sofas,Sofa,A1.1,beginner,12/06/20,,
67,Couch,Die,Couchs / Couchen,Diván,A1.1,beginner,12/06/20,,
68,Teppich,Der,Teppiche,Alfombra,A1.1,beginner,12/06/20,,
69,Tisch,Der,Tische,Mesa,A1.1,beginner,12/06/20,,
70,Euro,Der,Euros,Euro,A1.1,beginner,12/06/20,,
71,Cent,Der,Cents,Centavo,A1.1,beginner,12/06/20,,
72,Preis,Der,Preise,Precio,A1.1,beginner,12/06/20,,
73,Angebot,Das,Angebote,Oferta,A1.1,beginner,12/06/20,,
74,Hilfe,Die,Hilfen,Ayuda,A1.1,beginner,12/06/20,,
75,Zimmer,Das,Zimmer,Habitación,A1.1,beginner,12/06/20,,
76,Farbe,Die,Farben,Color,A1.1,beginner,12/06/20,,
77,Form,Die,Formen,Forma,A1.1,beginner,12/06/20,,
78,Material,Das,Materialen,Material,A1.1,beginner,12/06/20,,
79,Glas,Das,Gläser,Vidrio / Cristal,A1.1,beginner,12/06/20,,
80,Holz,Das,Hölzer,Madera,A1.1,beginner,12/06/20,,
81,Metall,Das,Metalls / Metalle,Metal,A1.1,beginner,12/06/20,,
82,Papier,Das,Papiers / Papiere,Papel,A1.1,beginner,12/06/20,,
83,Plastik,Das,Plastiken,Plástico,A1.1,beginner,12/06/20,,
84,Bleistift,Der,Bleistifte,Lápiz,A1.1,beginner,12/06/20,,
85,Brille,Die,Brillen,Anteojos,A1.1,beginner,12/06/20,,
86,Buch,Das,Bücher,Libro,A1.1,beginner,12/06/20,,
87,Feuerzeug,Das,Feuerzeuge,Encendedor,A1.1,beginner,12/06/20,,
88,Flasche,Die,Flaschen,Botella,A1.1,beginner,12/06/20,,
89,Fotoapparat,Der,Fotoapparate,Cámara de fotos,A1.1,beginner,12/06/20,,
90,Geldbörse,Die,Geldbörsen,Monedero,A1.1,beginner,12/06/20,,
91,Portemonnaie,Das,Portemonnaies,Monedero,A1.1,beginner,12/06/20,,
92,Kette,Die,Ketten,Collar,A1.1,beginner,12/06/20,,
93,Kugelschreiber,Der,Kugelschreiber,Bolígrafo,A1.1,beginner,12/06/20,,
94,Regenschirm,Der,Regenschirme,Paraguas,A1.1,beginner,12/06/20,,
95,Ring,Der,Ringe,Anillo,A1.1,beginner,12/06/20,,
96,Schlüssel,Der,Schlüssel,Llave,A1.1,beginner,12/06/20,,
97,Seife,Die,Seifen,Jabón,A1.1,beginner,12/06/20,,
98,Streichholz,Der,Streichhölzer,Fósforo,A1.1,beginner,12/06/20,,
99,Tasche,Die,Taschen,Bolso / Mochila,A1.1,beginner,12/06/20,,
100,Uhr,Die,Uhren,Hora,A1.1,beginner,12/06/20,,
101,Adresse,Die,Adressen,Dirección,A1.1,beginner,12/06/20,,
102,E-mail,Die,E-mails,E-mail,A1.1,beginner,12/06/20,,
103,Fax,Das,Faxe,Fax,A1.1,beginner,12/06/20,,
104,Geburtsdatum,Das,Geburtsdatum,Fecha de nacimiento,A1.1,beginner,12/06/20,,
105,Hausnummer,Die,Hausnummern,Número de casa,A1.1,beginner,12/06/20,,
106,Ort,Der,Orte,lugar,A1.1,beginner,12/06/20,,
107,Postleitzahl,Die,Postleitzahlen,Código postal,A1.1,beginner,12/06/20,,
108,Straße,Die,Straßen,Calle,A1.1,beginner,12/06/20,,
109,Telefon,Das,Telefone,Teléfono,A1.1,beginner,12/06/20,,
110,Entschuldigung,Die,Entschuldigungen,Disculpa,A1.1,beginner,12/06/20,,
111,Menge,Die,Mengen,Multitud,A1.1,beginner,12/06/20,,
112,Problem,Das,Probleme,Problema,A1.1,beginner,12/06/20,,
113,Produkt,Das,Produkte,Producto,A1.1,beginner,12/06/20,,
114,Wort,Das,Wörter,Palabra,A1.1,beginner,12/06/20,,
115,Wörterbuch,Das,Wörterbücher,Diccionario,A1.1,beginner,12/06/20,,
116,Arbeitsplatz,Der,Arbeitsplätze,Lugar de trabajo,A1.1,beginner,12/06/20,,
117,Bildschirm,Der,Bildschirme,Pantalla,A1.1,beginner,12/06/20,,
118,Briefmarke,Die,Briefmarken,Sello / Estampilla,A1.1,beginner,12/06/20,,
119,Büro,Das,Büros,Oficina,A1.1,beginner,12/06/20,,
120,Chef,Der,Chefs,Jefe,A1.1,beginner,12/06/20,,
121,Computer,Der,Computer,Computadora,A1.1,beginner,12/06/20,,
122,Drucker,Der,Drucker,Impresora,A1.1,beginner,12/06/20,,
123,Firma,Die,Firmen,Empresa,A1.1,beginner,12/06/20,,
124,Formular,Das,Formulare,Formulario,A1.1,beginner,12/06/20,,
125,Handy,Das,Handys,Teléfono celular,A1.1,beginner,12/06/20,,
126,Natel,Das,Natels,Teléfono celular,A1.1,beginner,12/06/20,,
127,Kalender,Der,Kalender,Calendario,A1.1,beginner,12/06/20,,
128,Laptop,Der,Laptops,Laptop,A1.1,beginner,12/06/20,,
129,Maus,Die,Mäuse,Mouse,A1.1,beginner,12/06/20,,
130,Notizbuch,Das,Notizbücher,Agenda,A1.1,beginner,12/06/20,,
131,Rechnung,Die,Rechnungen,Factura,A1.1,beginner,12/06/20,,
132,SMS,Die,SMS,SMS,A1.1,beginner,12/06/20,,
133,Stift,Der,Stifte,Alfiler,A1.1,beginner,12/06/20,,
134,Foto,Das,Fotos,Foto,A1.1,beginner,12/06/20,,
135,Gruß,Der,Grüße,Saludo,A1.1,beginner,12/06/20,,
136,See,Der,Seen,Lago / Mar / Estanque,A1.1,beginner,12/06/20,,
137,Telefonnummer,Die,Telefonnummern,Número de teléfono,A1.1,beginner,12/06/20,,
138,Zeit,Die,Zeiten,Tiempo,A1.1,beginner,12/06/20,,
139,Ausflug,Der,Ausflüge,Excursión,A1.1,beginner,12/06/20,,
140,Film,Der,Filme,Película,A1.1,beginner,12/06/20,,
141,Freizeit,Die,Freizeiten,Tiempo libre,A1.1,beginner,12/06/20,,
142,Hobby,Das,Hobbys,Hobby,A1.1,beginner,12/06/20,,
143,Kino,Das,Kinos,Cine,A1.1,beginner,12/06/20,,
144,Ausstellung,Die,Ausstellungen,Exposición / Feria,A1.1,beginner,12/06/20,,
145,Bar,Die,Bars,Bar,A1.1,beginner,12/06/20,,
146,Café,Das,Cafés,Café (bar),A1.1,beginner,12/06/20,,
147,Disco,Die,Discos,Discoteca,A1.1,beginner,12/06/20,,
148,Kneipe,Die,Kneipen,Pub / Bar,A1.1,beginner,12/06/20,,
149,Beiz,Die,Beizen,Taberna,A1.1,beginner,12/06/20,,
150,Wirtschaft,Die,Wirtschaften,Economía,A1.1,beginner,12/06/20,,
151,Lokal,Das,Lokale,Local / Restaurante / Cafetería,A1.1,beginner,12/06/20,,
152,Beisel,Das,Beisel,Bar / Pub,A1.1,beginner,12/06/20,,
153,Konzert,Das,Konzerte,Concierto,A1.1,beginner,12/06/20,,
154,Museum,Das,Museen,Museo,A1.1,beginner,12/06/20,,
155,Restaurant,Das,Restaurants,Restaurant,A1.1,beginner,12/06/20,,
156,Schwimmbad,Das,Schwimmbäder,Piscina,A1.1,beginner,12/06/20,,
157,Theater,Das,Theater,Teatro,A1.1,beginner,12/06/20,,
158,Morgen,Der,Morgen,Mañana,A1.1,beginner,12/06/20,,
159,Vormittag,Der,Vormittage,La mañana,A1.1,beginner,12/06/20,,
160,Mittag,Der,Mittage,El mediodía,A1.1,beginner,12/06/20,,
161,Nachmittag,Der,Nachmittage,La tarde,A1.1,beginner,12/06/20,,
162,Abend,Der,Abende,La noche / El poniente,A1.1,beginner,12/06/20,,
163,Nacht,Die,Nächte,La noche,A1.1,beginner,12/06/20,,
164,Tag,Der,Tage,Día,A1.1,beginner,12/06/20,,
165,Woche,Die,Wochen,Semana,A1.1,beginner,12/06/20,,
166,Montag,Der,Montage,Lunes,A1.1,beginner,12/06/20,,
167,Dienstag,Der,Dienstage,Martes,A1.1,beginner,12/06/20,,
168,Mittwoch,Der,Mittwoche,Miércoles,A1.1,beginner,12/06/20,,
169,Donnerstag,Der,Donnerstage,Jueves,A1.1,beginner,12/06/20,,
170,Freitag,Der,Freitage,Viernes,A1.1,beginner,12/06/20,,
171,Samstag,Der,Samstage,Sábado,A1.1,beginner,12/06/20,,
172,Sonntag,Der,Sonntage,Domingo,A1.1,beginner,12/06/20,,
173,Essen,Das,Essen,Comida,A1.1,beginner,12/06/20,,
174,Fernsehen,Das,Fernsehen,Televisor,A1.1,beginner,12/06/20,,
175,Kaffee,Der,Kaffees,Café,A1.1,beginner,12/06/20,,
176,Radio,Das,Radios,Radio,A1.1,beginner,12/06/20,,
177,Apfel,Der,Äpfel,Manzana,A1.1,beginner,12/06/20,,
178,Braten,Der,Braten,Asado,A1.1,beginner,12/06/20,,
179,Brötchen,Das,Brötchen,Panecillo,A1.1,beginner,12/06/20,,
180,Semmel,Die,Semmeln,Panecillo,A1.1,beginner,12/06/20,,
181,Brot,Das,Brote,Pan,A1.1,beginner,12/06/20,,
182,Butter,Die,Butter,Manteca,A1.1,beginner,12/06/20,,
183,Ei,Das,Eier,Huevo,A1.1,beginner,12/06/20,,
184,Eis,Das,Eises,Helado,A1.1,beginner,12/06/20,,
185,Fisch,Der,Fische,Pescado,A1.1,beginner,12/06/20,,
186,Fleisch,Das,Fleische,Carne,A1.1,beginner,12/06/20,,
187,Käse,Der,Käse,Queso,A1.1,beginner,12/06/20,,
188,Kartoffel,Die,Kartoffeln,Papa,A1.1,beginner,12/06/20,,
189,Erdapfel,Der,Erdäpfel,Papa,A1.1,beginner,12/06/20,,
190,Kuchen,Der,Kuchen,Torta,A1.1,beginner,12/06/20,,
191,Milch,Die,Milche,Leche,A1.1,beginner,12/06/20,,
192,Obst,Das,Obst,Fruta,A1.1,beginner,12/06/20,,
193,Orange,Die,Orangen,Naranja,A1.1,beginner,12/06/20,,
194,Reis,Der,Reiser,Arroz,A1.1,beginner,12/06/20,,
195,Sahne,Die,Sahne,Crema / Nata,A1.1,beginner,12/06/20,,
196,Salat,Der,Salate,Ensalada,A1.1,beginner,12/06/20,,
197,Schinken,Der,Schinken,Jamón,A1.1,beginner,12/06/20,,
198,Schokolade,Die,Schokoladen,Chocolate,A1.1,beginner,12/06/20,,
199,Suppe,Die,Suppen,Sopa,A1.1,beginner,12/06/20,,
200,Tee,Der,Tees,Té,A1.1,beginner,12/06/20,,
201,Tomate,Die,Tomaten,Tomate,A1.1,beginner,12/06/20,,
202,Wurst,Die,Würste,Salchicha,A1.1,beginner,12/06/20,,
203,Zitrone,Die,Zitronen,Limón,A1.1,beginner,12/06/20,,
204,Zwiebel,Die,Zwiebeln,Cebolla,A1.1,beginner,12/06/20,,
205,Durst,Der,Durst,Sed,A1.1,beginner,12/06/20,,
206,Frühstück,Das,Frühstücke,Desayuno,A1.1,beginner,12/06/20,,
207,Hunger,Der,Hunger,Hambre,A1.1,beginner,12/06/20,,
208,Kühlschrank,Der,Kühlschränke,Heladera,A1.1,beginner,12/06/20,,
209,Einladung,Die,Einladungen,Invitación,A1.1,beginner,12/06/20,,
210,Speisekarte,Die,Speisekarten,Menú,A1.1,beginner,12/06/20,,
211,Wochenende,Das,Wochenenden,Fin de semana,A1.1,beginner,12/06/20,,
212,Bahnhof,Der,Bahnhöfe,Estación de tren,A1.1,beginner,12/06/20,,
213,Bahnsteig,Der,Bahnsteige,Plataforma,A1.1,beginner,12/06/20,,
214,Perron,Das,Perrons,Andén,A1.1,beginner,12/06/20,,
215,Bus,Der,Busse,Autobus,A1.1,beginner,12/06/20,,
216,Halt,Der,Halte,Parada,A1.1,beginner,12/06/20,,
217,Haltestelle,Die,Haltestellen,Parada,A1.1,beginner,12/06/20,,
218,Flughafen,Der,Flughäfen,Aeropuerto,A1.1,beginner,12/06/20,,
219,Flugzeug,Das,Flugzeuge,Avión,A1.1,beginner,12/06/20,,
220,Gepäck,Das,Gepäck,Equipaje,A1.1,beginner,12/06/20,,
221,Gleis,Das,Gleise,Pista / Carril,A1.1,beginner,12/06/20,,
222,Koffer,Der,Koffer,Valija,A1.1,beginner,12/06/20,,
223,S-Bahn,Die,S-Bahnen,El metro,A1.1,beginner,12/06/20,,
224,Straßenbahn,Die,Straßenbahnen,Tranvía,A1.1,beginner,12/06/20,,
225,Tram,Die,Trams,Tranvía,A1.1,beginner,12/06/20,,
226,Taxi,Das,Taxis,Taxi,A1.1,beginner,12/06/20,,
227,U-Bahn,Die,U-Bahnen,El subterraneo,A1.1,beginner,12/06/20,,
228,Verkehrsmittel,Das,Verkehrsmittel,Medio de transporte,A1.1,beginner,12/06/20,,
229,Zug,Der,Züge,Tren,A1.1,beginner,12/06/20,,
230,Minute,Die,Minuten,Minuto,A1.1,beginner,12/06/20,,
231,Vorsicht,Die,Vorsicht,Cuidado / Precaución,A1.1,beginner,12/06/20,,
232,Arbeit,Die,Arbeiten,Trabajo,A1.1,beginner,12/06/20,,
233,Hausafgabe,Die,Hausafgaben,Tarea para el hogar,A1.1,beginner,12/06/20,,
234,Pause,Die,Pausen,Pausa,A1.1,beginner,12/06/20,,
235,Zeitung,Die,Zeitungen,Periódico,A1.1,beginner,12/06/20,,
236,Baby,Das,Babys,Bebé,A1.1,beginner,12/06/20,,
237,Fahrrad,Das,Fahrräder,Bicicleta,A1.1,beginner,12/06/20,,
238,Geschenk,Das,Geschenke,Regalo,A1.1,beginner,12/06/20,,
239,Monat,Der,Monate,Mes,A1.1,beginner,12/06/20,,
240,1Paar,Das,Paare,Pareja,A1.1,beginner,12/06/20,,
241,Party,Die,Partys,Partido,A1.1,beginner,12/06/20,,
242,Reise,Die,Reisen,Viaje,A1.1,beginner,12/06/20,,
243,Sport,Der,Sporte,Deporte,A1.1,beginner,12/06/20,,
244,Wein,Der,Weine,Vino,A1.1,beginner,12/06/20,,
245,Frühling,Der,Frühlinge,Primavera,A1.1,beginner,12/06/20,,
246,Sommer,Der,Sommer,Verano,A1.1,beginner,12/06/20,,
247,Herbst,Der,Herbste,Otoño,A1.1,beginner,12/06/20,,
248,Winter,Der,Winter,Invierno,A1.1,beginner,12/06/20,,
249,Januar,Der,Januare,Enero,A1.1,beginner,12/06/20,,
250,Februar,Der,Februare,Febrero,A1.1,beginner,12/06/20,,
251,März,Der,Märze,Marzo,A1.1,beginner,12/06/20,,
252,April,Der,Aprile,Abril,A1.1,beginner,12/06/20,,
253,Mai,Der,Maie,Mayo,A1.1,beginner,12/06/20,,
254,Juni,Der,Junis,Junio,A1.1,beginner,12/06/20,,
255,Juli,Der,Julis,Julio,A1.1,beginner,12/06/20,,
256,August,Der,Auguste,Agosto,A1.1,beginner,12/06/20,,
257,September,Der,September,Septiembre,A1.1,beginner,12/06/20,,
258,Oktober,Der,Oktober,Octubre,A1.1,beginner,12/06/20,,
259,November,Der,November,Noviembre,A1.1,beginner,12/06/20,,
260,Dezember,Der,Dezember,Diciembre,A1.1,beginner,12/06/20,,
261,Fest,Das,Feste,Fiesta,A1.1,beginner,12/06/20,,
262,Hochzeit,Die,Hochzeiten,Casamiento,A1.1,beginner,12/06/20,,
263,Karneval,Der,Karnevals,Carnaval,A1.1,beginner,12/06/20,,
264,Neujahr,Das,Neujahre,Año nuevo,A1.1,beginner,12/06/20,,
265,Silvester,Das,Silvester,Noche buena,A1.1,beginner,12/06/20,,
266,Bier,Das,Biere,Cerveza,A1.1,beginner,12/06/20,,
267,Leute,Die,Leute,Gente,A1.1,beginner,12/06/20,,
268,Person,Die,Personen,Persona,A1.1,beginner,12/06/20,,
269,Ampel,Die,Ampeln,Semáforo,A1.2,beginner,12/06/20,,
270,Bank,Die,Banken,Banco,A1.2,beginner,12/06/20,,
271,Brücke,Die,Brücken,Puente,A1.2,beginner,12/06/20,,
272,Dom,Der,Dome,Catedral,A1.2,beginner,12/06/20,,
273,Hotel,Das,Hotels,Hotel,A1.2,beginner,12/06/20,,
274,Mitte,Die,Mitten,Mitad / Medio,A1.2,beginner,12/06/20,,
275,Plan,Der,Pläne,Plan,A1.2,beginner,12/06/20,,
276,Polizei,Die,Polizeien,Policia,A1.2,beginner,12/06/20,,
277,Post,Die,Post,Correo,A1.2,beginner,12/06/20,,
278,Zentrum,Das,Zentren,Centro,A1.2,beginner,12/06/20,,
279,Meter,Der,Meter,Metro,A1.2,beginner,12/06/20,,
280,Nähe,Die,Nähe,Barrio / Proximidad,A1.2,beginner,12/06/20,,
281,Weg,Der,Wege,Camino,A1.2,beginner,12/06/20,,
282,Frage,Die,Fragen,Pregunta,A1.2,beginner,12/06/20,,
283,Moment,Der,Momente,Momento,A1.2,beginner,12/06/20,,
284,Haus,Das,Häuser,Casa,A1.2,beginner,12/06/20,,
285,Wohnung,Die,Wohnungen,Departamento,A1.2,beginner,12/06/20,,
286,Balkon,Der,Balkone,Balcón,A1.2,beginner,12/06/20,,
287,Baum,Der,Bäume,Árbol,A1.2,beginner,12/06/20,,
288,Blume,Die,Blumen,Flores,A1.2,beginner,12/06/20,,
289,Ergdeschoss,Die,Ergdeschosse,Planta Baja,A1.2,beginner,12/06/20,,
290,Fenster,Das,Fenster,Ventana,A1.2,beginner,12/06/20,,
291,Garage,Die,Garagen,Garage,A1.2,beginner,12/06/20,,
292,Garten,Der,Gärten,Jardín,A1.2,beginner,12/06/20,,
293,Keller,Der,Keller,Sotano,A1.2,beginner,12/06/20,,
294,Licht,Das,Lichter,Luz,A1.2,beginner,12/06/20,,
295,Miete,Die,Mieten,Alquiler,A1.2,beginner,12/06/20,,
296,Müll,Der,Müll,Basura,A1.2,beginner,12/06/20,,
297,Nachbar,Der,Nachbarn,Vecino,A1.2,beginner,12/06/20,,
298,Nachbarin,Die,Nachbarinen,Vecina,A1.2,beginner,12/06/20,,
299,Stock,Der,Stock,Piso,A1.2,beginner,12/06/20,,
300,Stockwerke,Die,Stockwerke,Piso / Planta,A1.2,beginner,12/06/20,,
301,Treppe,Die,Treppen,Escalera,A1.2,beginner,12/06/20,,
302,Stiege,Die,Stiegen,Escalera,A1.2,beginner,12/06/20,,
303,Vermieter,Der,Vermieter,Propietario,A1.2,beginner,12/06/20,,
304,Wasser,Das,Wasser,Agua,A1.2,beginner,12/06/20,,
305,Zimmer,Das,Zimmer,Habitación,A1.2,beginner,12/06/20,,
306,Büro,Das,Büros,Oficina,A1.2,beginner,12/06/20,,
307,Bad,Das,Bäder,Baño,A1.2,beginner,12/06/20,,
308,Flur,Das,Flure,Pasillo / Vestíbulo,A1.2,beginner,12/06/20,,
309,Küche,Die,Küchen,Cocina,A1.2,beginner,12/06/20,,
310,Toilette,Die,Toiletten,Tocador,A1.2,beginner,12/06/20,,
311,Berg,Der,Berge,Montaña,A1.2,beginner,12/06/20,,
312,Fluss,Der,Flüsse,Río,A1.2,beginner,12/06/20,,
313,Meer,Das,Meere,Mar,A1.2,beginner,12/06/20,,
314,Wald,Der,Wälder,Bosque,A1.2,beginner,12/06/20,,
315,Anzeige,Die,Anzeigen,Anuncio / Notificación,A1.2,beginner,12/06/20,,
316,Fabrik,Die,Fabriken,Planta / Manufactura,A1.2,beginner,12/06/20,,
317,Familie,Die,Familien,Familia,A1.2,beginner,12/06/20,,
318,Stadt,Die,Städte,Ciudad,A1.2,beginner,12/06/20,,
319,Zelt,Das,Zelte,Carpa,A1.2,beginner,12/06/20,,
320,Bibliothek,Die,Bibliotheken,Biblioteca,A1.2,beginner,12/06/20,,
321,Geschäft,Das,Geschäfte,Negocio,A1.2,beginner,12/06/20,,
322,Laden,Der,Läden,Tienda / Almacén,A1.2,beginner,12/06/20,,
323,Hafen,Der,Häfen,Puerto,A1.2,beginner,12/06/20,,
324,Jugendherberge,Die,Jugendherbergen,Hostel,A1.2,beginner,12/06/20,,
325,Kirche,Die,Kirchen,Iglesia,A1.2,beginner,12/06/20,,
326,Markt,Der,Märkte,Mercado,A1.2,beginner,12/06/20,,
327,Park,Der,Parks,Parque,A1.2,beginner,12/06/20,,
328,Rathaus,Das,Rathäuser,Municipalidad,A1.2,beginner,12/06/20,,
329,Schloss,Das,Schlösser,Candado / Cerrojo,A1.2,beginner,12/06/20,,
330,Platz,Der,Plätze,Lugar,A1.2,beginner,12/06/20,,
331,Turm,Der,Türme,Torre,A1.2,beginner,12/06/20,,
332,Ausländer,Der,Ausländer,Extranjeros,A1.2,beginner,12/06/20,,
333,Blick,Der,Blicke,Vista / Panorama,A1.2,beginner,12/06/20,,
334,Mensch,Der,Menschen,Hombre / Persona / Ser Humano,A1.2,beginner,12/06/20,,
335,Reisebüro,Das,Reisebüros,Agencia de Viajes,A1.2,beginner,12/06/20,,
336,Rezept,Das,Rezepte,Receta,A1.2,beginner,12/06/20,,
337,Urlaub,Der,Ferien,Vacaciones,A1.2,beginner,12/06/20,,
338,Wetter,Das,Wetter,Clima,A1.2,beginner,12/06/20,,
339,Aufzug,Der,Aufzüge,Ascensor,A1.2,beginner,12/06/20,,
340,Lift,Der,Lifte,Ascensor,A1.2,beginner,12/06/20,,
341,Dusche,Die,Duschen,Ducha,A1.2,beginner,12/06/20,,
342,Fernseher,Der,Fernseher,Televisor,A1.2,beginner,12/06/20,,
343,Föhn,Der,Föhne,Secadora de pelo,A1.2,beginner,12/06/20,,
344,Gast,Der,Gäste,Invitado,A1.2,beginner,12/06/20,,
345,Handtuch,Das,Händtucher,Toalla,A1.2,beginner,12/06/20,,
346,Heizung,Die,Haizungen,Calefacción,A1.2,beginner,12/06/20,,
347,Klimaanlage,Die,Klimaanlagen,Acondicionador de aire,A1.2,beginner,12/06/20,,
348,Verbindung,Die,Verbindungen,Conexión,A1.2,beginner,12/06/20,,
349,Wecker,Der,Wecker,Despertador,A1.2,beginner,12/06/20,,
350,Lust,Die,Lust,Ganas,A1.2,beginner,12/06/20,,
351,Angst,Die,Ängste,Miedo,A1.2,beginner,12/06/20,,
352,Kurs,Der,Kurse,Curso,A1.2,beginner,12/06/20,,
353,Sitzung,Die,Sitzungen,Reunión,A1.2,beginner,12/06/20,,
354,Stunde,Die,Stunden,Hora,A1.2,beginner,12/06/20,,
355,Ausbildung,Die,Ausbildungen,Formación / Educación,A1.2,beginner,12/06/20,,
356,Ausland,Das,Ausland,Pais Extranjero,A1.2,beginner,12/06/20,,
357,Chance,Die,Chancen,Oportunidad,A1.2,beginner,12/06/20,,
358,Fremdsprache,Die,Fremdsprachen,Lengua Extranjera,A1.2,beginner,12/06/20,,
359,Geld,Das,Geld,Dinero,A1.2,beginner,12/06/20,,
360,Politiker,Der,Politiker,Político,A1.2,beginner,12/06/20,,
361,Prüfung,Die,Prüfungen,Prueba,A1.2,beginner,12/06/20,,
362,Sänger,Der,Sänger,Cantante,A1.2,beginner,12/06/20,,
